Currency1,Currency2,Correlation
BTCUSDT,ETHUSDT,0.8944766589425406
BTCUSDT,FUNUSDT,0.8484703869368871
BTCUSDT,BCHUSDT,0.8323966484105838
BTCUSDT,RUNEUSDT,0.8385317655266126
BTCUSDT,GNOUSDT,0.8510541347249692
ETHUSDT,MATICUSDT,0.8303277553501881
ETHUSDT,FUNUSDT,0.8739340067140661
ETHUSDT,BALUSDT,0.8342987886853163
ETHUSDT,RUNEUSDT,0.8563105210308478
ETHUSDT,AAVEUSDT,0.8414315642747427
ETHUSDT,GNOUSDT,0.9459847775905731
ETHUSDT,ILVUSDT,0.8571479997703295
NEOUSDT,QTUMUSDT,0.8689068234728704
LTCUSDT,DASHUSDT,0.8485144590447252
QTUMUSDT,OMGUSDT,0.885142657536487
ADAUSDT,IOTAUSDT,0.8380632625373632
ADAUSDT,XLMUSDT,0.8517438613007102
ADAUSDT,LINKUSDT,0.8492064771902578
ADAUSDT,THETAUSDT,0.8409019014549826
ADAUSDT,ENJUSDT,0.8478042443012463
ADAUSDT,RUNEUSDT,0.837887181986727
XRPUSDT,XLMUSDT,0.8725108907595348
IOTAUSDT,ICXUSDT,0.8364261800782689
IOTAUSDT,CELRUSDT,0.8306038077805763
IOTAUSDT,THETAUSDT,0.845366642609642
IOTAUSDT,ENJUSDT,0.8614537457399174
IOTAUSDT,ONEUSDT,0.8394747982171314
IOTAUSDT,IOTXUSDT,0.8303249174556467
IOTAUSDT,CHRUSDT,0.8357272657030308
IOTAUSDT,ZENUSDT,0.8385417290021754
IOTAUSDT,RUNEUSDT,0.8402915313302881
IOTAUSDT,AVAXUSDT,0.8470934426276655
IOTAUSDT,ALICEUSDT,0.8423525779476834
IOTAUSDT,WAXPUSDT,0.8344735970869464
ICXUSDT,WAXPUSDT,0.8405720807696977
ONGUSDT,ARDRUSDT,0.8352121959781669
ONGUSDT,POWRUSDT,0.8538015243241825
CELRUSDT,ENJUSDT,0.8323793471029008
CELRUSDT,ONEUSDT,0.8364504229383548
CELRUSDT,ALICEUSDT,0.837511325217758
THETAUSDT,ENJUSDT,0.8479280223899593
THETAUSDT,TFUELUSDT,0.8350294417447474
THETAUSDT,AVAXUSDT,0.8355723338824795
THETAUSDT,ALICEUSDT,0.8534124063684316
THETAUSDT,TLMUSDT,0.8370179929481532
THETAUSDT,BAKEUSDT,0.8327643733231643
ENJUSDT,ONEUSDT,0.8379931688873412
ENJUSDT,ALGOUSDT,0.8363742741335464
ENJUSDT,CHRUSDT,0.8349629310767561
ENJUSDT,LRCUSDT,0.8319034930380964
ENJUSDT,MANAUSDT,0.8690482311101619
ENJUSDT,SANDUSDT,0.895909190973213
ENJUSDT,RUNEUSDT,0.8586162426935229
ENJUSDT,AVAXUSDT,0.8418926277727798
ENJUSDT,NEARUSDT,0.8355627544668588
ENJUSDT,ALICEUSDT,0.8707526130719416
ENJUSDT,FLOWUSDT,0.8335968487201852
ENJUSDT,WAXPUSDT,0.8512594492143428
ONEUSDT,FTMUSDT,0.8444727857775661
ONEUSDT,AVAXUSDT,0.8411160148684622
ONEUSDT,NEARUSDT,0.8438499772038021
ONEUSDT,ALICEUSDT,0.8402452109283349
FUNUSDT,GNOUSDT,0.8470079254523082
IOTXUSDT,ALICEUSDT,0.8468290165362578
IOTXUSDT,TLMUSDT,0.8443679740046826
CHRUSDT,NEARUSDT,0.8321365107860638
CHRUSDT,ALICEUSDT,0.8609529651964329
ARDRUSDT,STMXUSDT,0.8340678068620018
ARDRUSDT,WAXPUSDT,0.8826054120984496
ARDRUSDT,POWRUSDT,0.8674037472902965
STMXUSDT,SCUSDT,0.8321845306910253
STMXUSDT,WAXPUSDT,0.8437238886347718
STMXUSDT,POWRUSDT,0.836442284584415
COMPUSDT,AAVEUSDT,0.8362636425861192
ZENUSDT,ALICEUSDT,0.8376854550934979
MANAUSDT,SANDUSDT,0.894697902648796
MANAUSDT,ALICEUSDT,0.8321593995545487
SANDUSDT,RUNEUSDT,0.843843816069571
SANDUSDT,ALICEUSDT,0.8585825072255
SUSHIUSDT,UNIUSDT,0.8314147572273993
RUNEUSDT,UNIUSDT,0.8439077023292157
RUNEUSDT,AVAXUSDT,0.8664951974968509
RUNEUSDT,AAVEUSDT,0.8633361340574147
RUNEUSDT,ALICEUSDT,0.8465112306474135
UNIUSDT,AAVEUSDT,0.852361896514819
AVAXUSDT,NEARUSDT,0.8601741785930089
AVAXUSDT,ALICEUSDT,0.842242510663267
JUVUSDT,PSGUSDT,0.840555769455939
ALICEUSDT,TLMUSDT,0.8785484071545951
ALICEUSDT,BAKEUSDT,0.848403286338392
TLMUSDT,BAKEUSDT,0.8503299344483128
TLMUSDT,SLPUSDT,0.8514226340993102
WAXPUSDT,POWRUSDT,0.8710250142562116
LAZIOUSDT,PORTOUSDT,0.8761797161312277
